sujeto,dia_prueba,t_total_s,t_prueba1_s,t_prueba2_s,rechaza,llora,lo_toca,lo_prueba,lo_consume,val_inicio,aro_inicio,val1_antes,val1_durante,val1_despues,val2_antes,val2_durante,val2_despues,aro1_antes,aro1_durante,aro1_despues,aro2_antes,aro2_durante,aro2_despues,val_final,aro_final,comentarios
ID19,12E,9.76,0.8,5.12,0.0,0.0,1.0,1.0,1.0,0.1627412,0.5214959,0.1583226,0.1310307,0.1072469,0.1058618,0.09272856,0.07984414,0.5200592,0.5088861,0.5159275,0.4688078,0.4252068,0.3890629,0.09070037,0.349391,
ID19,13,,,,,,,,,,,,,,,,,,,,,,,,,No se graba porque llora desde antes de la prueba
ID19,14E,15.19,1.0,11.44,0.0,0.0,1.0,1.0,1.0,0.1217997,0.4785,0.1940525,0.2181848,0.1430058,0.1028049,0.1456531,0.1422485,0.531246,0.5751969,0.5403451,0.4652591,0.501615,0.4887326,0.1214382,0.4999745,
ID19,15E,19.53,0.98,15.75,0.0,0.0,1.0,1.0,1.0,0.1480237,0.6687875,0.1237568,0.1131843,0.1108422,0.2223444,0.1612481,0.1790438,0.6824327,0.6025028,0.6162508,0.7565164,0.6924234,0.6241215,0.2399334,0.5749838,T°1 sólo lo topa con la boca.
ID19,16E,20.73,0.62,15.63,0.0,0.0,1.0,1.0,1.0,0.08238216,0.2552833,0.08770799,0.2062366,0.1869921,0.1613937,0.1599984,0.1337928,0.2582514,0.3886988,0.4968958,0.421019,0.3965226,0.3750571,0.1138317,0.4016875,
ID19,17E,10.73,4.3,,0.0,0.0,1.0,1.0,1.0,0.1506567,0.3458375,0.3755381,0.3727492,0.2863712,,,,0.4071582,0.4698397,0.561047,,,,0.1127339,0.5026166,Solo 1 prueba
ID19,18E,14.66,2.42,10.58,0.0,0.0,1.0,1.0,1.0,0.2779467,0.5332208,0.1532768,0.2522536,0.3214688,0.3604955,0.4355871,0.3583529,0.5500699,0.654503,0.6837997,0.6839186,0.6821885,0.6512758,0.4046522,0.4963053,
ID19,19E,52.16,32.3,37.6,0.0,0.0,1.0,1.0,1.0,0.38858,0.6792291,0.2305351,0.2123563,0.2795487,0.2255219,0.1958829,0.1612325,0.480316,0.458516,0.4404505,0.4547733,0.4461756,0.4201525,0.1170374,0.3341104,
ID20,1,10.53,0.8,,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,0.1703789,0.1957683,no hay info sobre las valencias y arousal de la prueba
ID20,2,15.49,7.0,,1.0,0.0,0.0,1.0,1.0,0.09614293,0.5222292,0.3860455,0.3679494,0.363344,,,,0.8721011,0.844321,0.7958533,,,,0.4613658,0.5818599,primero rechaza probarlo y luego acepta la 2da prueba
ID20,3,17.69,0.0,12.13,0.0,0.0,0.0,1.0,1.0,0.5141512,0.7378875,,0.5141512,0.3780178,0.3945285,0.4862065,0.4136074,,0.7378875,0.739383,0.6395366,0.6716382,0.6685895,0.1361457,0.6543771,
ID20,4,15.79,0.68,8.5,0.0,1.0,0.0,1.0,1.0,,,,,,0.4081616,0.5295964,0.4357865,,,,0.692447,0.9359133,0.9270751,0.323729,0.5016868,"despues de la primera prueba le pega a la cuchara y llora, pero acepta la segunda prueba"
ID20,5,14.33,1.7,9.0,0.0,0.0,0.0,1.0,1.0,0.2589517,0.770025,0.328308,0.3188061,0.2525156,0.1246159,0.2126267,0.3206176,0.6989214,0.64034,0.593152,0.5271703,0.4579734,0.419493,0.06233454,0.5610442,
ID20,6,6.53,,,1.0,1.0,0.0,0.0,0.0,0.4416167,0.8647959,,,,,,,,,,,,,0.4337946,0.9098958,Se encuentra llorando al momento en el que se le ofrece la papilla
ID20,7,14.49,1.0,9.0,0.0,0.0,0.0,1.0,1.0,0.2440876,0.5480917,0.1881282,0.1605448,0.1952323,0.2740583,0.2957791,0.261474,0.5349632,0.4984954,0.4756728,0.5882165,0.5703027,0.5427138,0.1212094,0.6043993,
ID20,8,14.13,1.0,8.9,0.0,0.0,0.0,1.0,1.0,0.3804438,0.7079042,0.3961562,0.3211251,0.2234514,0.3139898,0.4504476,0.2814984,0.7042536,0.6863049,0.6578758,0.8322502,0.7959521,0.7375098,0.06319571,0.6101564,
ID20,9,16.53,0.9,11.23,0.0,0.0,0.0,1.0,1.0,0.4261579,0.8343125,0.4038352,0.3590941,0.2612633,0.6117668,0.6288712,0.5171399,0.8330181,0.8090007,0.7530113,0.787804,0.8431981,0.819261,0.06239213,0.845494,
ID20,10,16.23,1.5,9.6,0.0,0.0,0.0,1.0,1.0,0.4223329,0.99,0.5132324,0.4620187,0.3224799,0.2185728,0.3455367,0.4798052,0.9725904,0.9398939,0.9055985,0.5179231,0.6933807,0.6957919,0.05949632,0.5117638,
ID20,11,18.36,0.9,6.2,0.0,0.0,0.0,1.0,1.0,0.4014294,0.8669125,0.4149696,0.4097128,0.2521963,0.2137046,0.3196987,0.3644982,0.8695239,0.8547065,0.8466964,0.8284124,0.7671652,0.7301556,0.06658884,0.6796851,consume hasta una 3ra prueba de papilla
ID20,12,17.29,0.8,11.5,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,no hay info sobre las valencias y arousal de las pruebas
ID20,13,18.46,1.5,6.5,0.0,0.0,0.0,1.0,1.0,0.3113367,0.405175,0.3194722,0.3693378,0.4248084,,,,0.4168865,0.7141575,0.7574114,,,,0.1783248,0.402727,consume hasta una 3ra prueba de papilla
ID20,14,15.09,0.9,7.2,0.0,0.0,0.0,1.0,1.0,0.2785861,0.5979875,0.2986991,0.3046072,0.334293,0.2843646,0.3186125,0.2729491,0.6389856,0.6361904,0.6112142,0.7740388,0.8171718,0.7464277,0.2700588,0.4359049,
ID20,15,16.49,1.5,12.0,0.0,0.0,0.0,1.0,1.0,0.4790146,0.7460667,0.5241385,0.5900274,0.4963839,0.3505393,0.4493093,0.3507945,0.7327968,0.8682837,0.8627015,0.8042955,0.7910719,0.7790394,0.258461,0.7223393,
